192	B4	4	דרום-מזרח	114.45	7.00	13.00	4	1.5
193	C	3	דרום	89.23	8.00	13.00	5	1
194	B4	4	דרום-מערב	114.45	7	13	4	1
195	A4	4	צפון-מערב	118.16	8.00	13.00	4	1.5
201	A4	4	צפון-מזרח	118.16	8.00	13.00	4	1
202	B4	4	דרום-מזרח	114.45	7.56	13.30	4	1
203	C	3	דרום	89.23	8.00	13.00	3	1
204	B4	4	דרום-מערב	114.45	7.00	13.00	3	1
205	A4	4	צפון-מערב	118.16	8.00	13.00	4	1
211	A4	4	צפון-מזרח	118.16	8	13		1.5
212	B4	4	דרום-מזרח	114.45	7.00	13.00	4	1
213	C	3	דרום	89.23	8.00	13.00	5	1
214	B4	4	דרום-מערב	114.45	7.00	13.00	5	1.5
215	A4	4	צפון-מערב	118.16	8.00	13.00	3	1
221	A41	4	צפון-מזרח	118.16	8.00	13.00	5	1.5
222	B4	4	דרום-מזרח	114.45	7.56	13.30	4	1
223	C	3	דרום	89.23	8.00	13.00	4	1
224	B4	4	דרום-מערב	114.45	8.00	13.00	3	1
225	A4	4	צפון-מערב	118.16	8.00	13.00	4	1.5
231	A41	4	צפון-מזרח	118.16	8.00	13.00	5	1.5
232	B4	4	דרום-מזרח	114.45	8.00	13.00	5	1.5
233	C	3	דרום	89.23	8.00	13.00	5	1
234	B4	4	דרום-מערב	114.45	8.00	13.00	3	1
235	A4	4	צפון-מערב	118.16	8.00	13.00	4	1.5
241	A42	4	צפון-מזרח	117.65	8.00	13.00	5	2
242	B4	4	דרום-מזרח	114.45	8.00	13.00	4	1
243	C	3	דרום	89.23	8.00	13.00	4	1
244	B4	4	דרום-מערב	114.45	8.00	13.00	3	1
245	A41	4	צפון-מערב	118.16	8.00	13.00	5	2
251	A41	4	צפון-מזרח	118.16	8.00	13.00	4	2
252	B4	4	דרום-מזרח	114.45	8.00	13.00	4	1
253	C1	3	דרום	89.05	8.00	13.00	4	1
254	B4	4	דרום-מערב	114.45	8.00	13.00	3	1
255	A41	4	צפון-מערב	118.16	8.00	13.00	5	2
261	A51	5	צפון-מזרח	132.80	8.00	16.00	3	2
262	B4	4	דרום-מזרח	114.45	7.00	13.00	3	1
263	C1	3	דרום	89.05	8.00	13.00	4	1
264	B4	4	דרום-מערב	114.45	7.00	13.00	5	1.5
265	A42	4	צפון-מערב	117.65	8.00	13.00	5	1.5
271	A5	5	צפון-מזרח	132.80	8.00	16.00	4	2
272	B4	4	דרום-מזרח	114.45	7.00	13.00	3	1
273	C2	3	דרום	88.17	8.00	13.00	4	1
274	B4	4	דרום-מערב	114.45	8.00	13.00	4	1
275	A41	4	צפון-מערב	118.16	8.00	13.00	4	2
